元の表記,状態,みんトレ表記,apparel_id,出どころ,件数,候補,理由
ジージーエンド(1BOX),確定,ポケモンカードゲーム サン&ムーン 強化拡張パック ジージーエンド ボックス,12896,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,12,12896:ポケモンカードゲーム サン&ムーン 強化拡張パック ジージーエンド ボックス(3) || 88179:ポケモンカードゲーム サン&ムーン 強化拡張パック ジージーエンド パック(0),型番なし・名前で一致
ゼイユ 130/101,確定,ゼイユ SAR [SV6 130/101],255643,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,12,255643:ゼイユ SAR [SV6 130/101](4),
ブラッキー: プロモ (ナガバブラッキー) [SV-P 067],確定,ブラッキー: プロモ (ナガバブラッキー) [SV-P 067],122059,管理画面,12,122059:ブラッキー: プロモ (ナガバブラッキー) [SV-P 067](5),
ホワイトフレア(1BOX),確定,ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス,584772,仕入れ管理シート・商品ごとの不足数・管理画面,12,584772:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス(3) || 584776:ポケモンカードゲーム スカーレット&バイオレット 拡張パックデラックス「ホワイトフレア」ボックス(1) || 586841:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」ボックス(1) || 584773:ポケモンカードゲーム スカーレット&バイオレット 拡張パック「ホワイトフレア」パック(0),型番なし・名前で一致
マリィ(s4a 198/190),確定,マリィ SR (シャイニーマリィ) [S4a 198/190],91190,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,12,91190:マリィ SR (シャイニーマリィ) [S4a 198/190](6) || 428838:マリィ SR: 25thホロ [198/190](1) || 164623:クヌギダマ S [SV4a 198/190](-7),
ゲッコウガ&ゾロアークGX(SM9a 059/055),確定,ゲッコウガ&ゾロアークGX SR: SA [SM9a 059/055],104636,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,11,104636:ゲッコウガ&ゾロアークGX SR: SA [SM9a 059/055](6),
ピカチュウ C: マスターボールミラー (マスボピカチュウ) [SV2a 025/165],確定,ピカチュウ C: マスターボールミラー (マスボピカチュウ) [SV2a 025/165],128147,管理画面,11,128147:ピカチュウ C: マスターボールミラー (マスボピカチュウ) [SV2a 025/165](6) || 127809:ピカチュウ C: モンスターボールミラー [SV2a 025/165](0) || 127808:ピカチュウ C [SV2a 025/165](-2),
メガゲッコウガex SAR [M4 114/083],確定,メガゲッコウガex SAR [M4 114/083],776365,管理画面,11,776365:メガゲッコウガex SAR [M4 114/083](7),
強化拡張パック『ポケモンカード151』(SV2a)【未開封BOX】{-} [未開封BOX],確定,ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス,118914,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・管理画面,11,118914:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス(3) || 567433:【シュリンクなし】 ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック「ポケモンカード151」ボックス(1) || 118915:ポケモンカードゲーム スカーレット&バイオレット 強化拡張パック 「ポケモンカード151」 パック (151)(0),型番なし・名前で一致
カスミのおねがい 104/094,確定,カスミのおねがい SR [SM11 104/094],93094,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,10,93094:カスミのおねがい SR [SM11 104/094](4) || 105368:ジガルデGX HR [SM6 104/094](-4),
グレイシアVMAX HR [S6a 091/069],確定,グレイシアVMAX HR: SA [S6a 091/069],93024,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・在庫管理・管理画面,10,93024:グレイシアVMAX HR: SA [S6a 091/069](5),
ニンフィアV 083/069,確定,ニンフィアV SR: SA [S6a 083/069],91177,管理画面,10,91177:ニンフィアV SR: SA [S6a 083/069](4),
ピカチュウ 205/172,確定,ピカチュウ AR [s12a 205/172],105553,管理画面,10,105553:ピカチュウ AR [s12a 205/172](4),
マリィのプライド 419/414,確定,マリィのプライド [SI 419/414],91150,管理画面,10,91150:マリィのプライド [SI 419/414](4),
ミモザ(SV1V 100/078),確定,ミモザ SR [SV1V 100/078],110910,管理画面,10,110910:ミモザ SR [SV1V 100/078](6) || 110948:ボタン SR [SV1S 100/078](-7),
メガズルズキンex(M2a 231/193),確定,メガズルズキンex MA [M2a 231/193],730953,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,10,730953:メガズルズキンex MA [M2a 231/193](6) || 744299:メガズルズキンex MA: 中国語箔押しエラー [M2a 231/193](-3),
ロケット団のミュウツーex(m2a 237/193),確定,ロケット団のミュウツーex SAR [M2a 237/193],730958,在庫管理・管理画面,10,730958:ロケット団のミュウツーex SAR [M2a 237/193](6),
ロロノア・ゾロ R-SPC [PRB02-006],確定,ロロノア・ゾロ R-SPC [PRB02-006],751310,管理画面,10,751310:ロロノア・ゾロ R-SPC [PRB02-006](7) || 751081:ロロノア・ゾロ R-SPC [PRB02-006]【英語版】(4) || 653491:ロロノア・ゾロ R [PRB02-006](プレミアムブースター「ONE PIECE CARD THE BEST vol.2」)(1) || 656335:ロロノア・ゾロ R-P [PRB02-006](1),
Nのゾロアークex(sv9 131/100),確定,Nのゾロアークex UR [SV9 131/100],506160,管理画面,9,506160:Nのゾロアークex UR [SV9 131/100](6) || 524253:Nのゾロアークex: エラー版 UR [SV9 131/100](1),
PT交換専用カード 1PT,対象外,,,管理画面,9,,ポイント交換・演出（発送しない）
iPhone 17 Pro 256GB(カラーランダム),確定,iPhone 17 Pro 256GB(カラーランダム),,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,9,,スニダン外の商品（mintore_non_snkr.csv）
かんこうきゃく [SM12a 192/173],確定,かんこうきゃく SR [SM12a 192/173],91269,管理画面,9,91269:かんこうきゃく SR [SM12a 192/173](6),
なにかのPSA10 29000pt,確定,"なにかのPSA10 29,000PT",,管理画面,9,,なにかの〜・福袋（書き方の決まりで揃えた）
なにかのパック×5,確定,なにかのパック×5,,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・管理画面,9,,なにかの〜・福袋（書き方の決まりで揃えた）
イーブイ(s8b 210/184),確定,イーブイ CHR [s8b 210/184],126673,管理画面,9,126673:イーブイ CHR [s8b 210/184](6),
シロナのガブリアスex【SAR】{087/063} [SV9a],確定,シロナのガブリアスex SAR [SV9a 087/063],538636,仕入れ管理シート・仕入れ管理シートF列・商品ごとの不足数・管理画面,9,538636:シロナのガブリアスex SAR [SV9a 087/063](7) || 657363:メガフシギバナex SAR [M1L 087/063](-6) || 657365:メガサーナイトex SAR [M1S 087/063](-6),
ピカチュウ(073/071 CHR),確定,ピカチュウ CHR [S10a 073/071],96667,管理画面,9,96667:ピカチュウ CHR [S10a 073/071](5) || 96755:ミュウツーV SR [S10b 073/071](-5) || 120730:ヒノヤコマ AR [SV2D 073/071](-5) || 120823:マリル AR [SV2P 073/071](-5),
ピカチュウVMAX(s4 031/100),確定,ピカチュウVMAX RRR [s4 031/100],144983,管理画面,9,144983:ピカチュウVMAX RRR [s4 031/100](6) || 136972:シズクモ C [S11 031/100](-7) || 139774:マナフィ U [S9 031/100](-7) || 141328:エレザード C [s8 031/100](-7),
ブラッキーVMAX(s8b 245/184),確定,ブラッキーVMAX CSR [S8b 245/184],96729,仕入れ管理シート・商品ごとの不足数・在庫管理・管理画面,9,96729:ブラッキーVMAX CSR [S8b 245/184](6),
マリィ [068/060],確定,マリィ SR [S1H 068/060],91206,在庫管理・管理画面,9,91206:マリィ SR [S1H 068/060](4) || 91369:エーフィGX HR [SM1S 068/060](-4) || 93116:ルナアーラGX HR [SM1M 068/060](-4) || 122006:ビート SR [S1W 068/060](-4),
ミュウV 106/100,確定,ミュウV SR: SA [S8 106/100],91163,管理画面,9,91163:ミュウV SR: SA [S8 106/100](4) || 93378:プテラV SR: SA [S11 106/100](-4) || 102310:ムゲンダイナV SR [S3 106/100](-4) || 139845:ライチュウV SR [S9 106/100](-4),
